"�..Parcours_2023";"Nombre.de.voyages_2023";"Poids.de.voyages_2023";"Nombre.d.abonnements_2023";"Nombre.de.voyages_2024";"Poids.de.voyages_2024";"Nombre.d.abonnements_2024"
"FAUGA - TOULOUSE MATABIAU";58;"0,0492%";"3";36;"0,0341%";"3"
"SAINT-AGNE - SAVERDUN";58;"0,0491%";"2";36;"0,0341%";"2"
"MARSEILLE ST CHARLES - TOULOUSE MATABIAU";58;"0,0490%";"0";5;"0,0050%";"0"
"AGEN - MOISSAC";58;"0,0488%";"1";15;"0,0139%";"0"
"PERPIGNAN - SALSES";58;"0,0487%";"1";53;"0,0497%";"1"
"GIMONT CAHUZAC - TOULOUSE MATABIAU";58;"0,0487%";"1";46;"0,0435%";"1"
"CARBONNE - SAINT-GAUDENS";57;"0,0485%";"1";51;"0,0478%";"0"
"ALBI - RABASTENS - COUFOULEUX";57;"0,0482%";"1";18;"0,0166%";"0"
"BRIVE LA GAILLARDE - MONTAUBAN";57;"0,0482%";"0";29;"0,0272%";"0"
"AVIGNON CENTRE - VERGÈZE - CODOGNAN";57;"0,0481%";"1";39;"0,0365%";"0"
"NARBONNE - NIMES PONT DU GARD";56;"0,0474%";"0";30;"0,0281%";"0"
"L'ISLE JOURDAIN - SAINT-AGNE";56;"0,0471%";"3";41;"0,0381%";"3"
"LEUCATE LA FRANQUI - MONTPELLIER SAINT-ROCH";55;"0,0467%";"1";63;"0,0589%";"1"
"CINTEGABELLE - SAINT-AGNE";55;"0,0467%";"2";27;"0,0254%";"1"
"AGDE - AVIGNON CENTRE";55;"0,0465%";"0";66;"0,0616%";"0"
"BAGNAC - TOULOUSE MATABIAU";55;"0,0465%";"0";10;"0,0094%";"0"
"NIMES - VITROLLES AEROPORT MARSEILLE";55;"0,0465%";"1";65;"0,0606%";"0"
"PAMIERS - SAVERDUN";55;"0,0464%";"2";29;"0,0269%";"1"
"ALES - GRAND COMBE LA PISE";55;"0,0463%";"1";91;"0,0851%";"0"
"MIRAMAS - NIMES";55;"0,0462%";"0";43;"0,0403%";"0"
"AURILLAC - FIGEAC";54;"0,0456%";"0";28;"0,0261%";"0"
"AVIGNON TGV - MONTPELLIER SAINT-ROCH";54;"0,0456%";"0";54;"0,0503%";"0"
"FRONTIGNAN - NIMES";54;"0,0456%";"2";123;"0,1158%";"1"
"FOIX - TARASCON SUR ARIEGE";54;"0,0456%";"1";24;"0,0230%";"1"
"COARRAZE - NAY - TOULOUSE MATABIAU";53;"0,0452%";"0";9;"0,0083%";"0"
"FONS - SAINT-MAMERT - NIMES";53;"0,0446%";"4";56;"0,0524%";"4"
"ALES - MARSEILLE ST CHARLES";53;"0,0445%";"0";72;"0,0680%";"0"
"ASSIER - BRIVE LA GAILLARDE";52;"0,0443%";"0";3;"0,0029%";"0"
"AVIGNON TGV - NIMES";52;"0,0437%";"0";72;"0,0675%";"0"
"CARMAUX - GAILLAC";52;"0,0436%";"1";35;"0,0324%";"1"
"MONTRÉJEAU - GOURDAN-POLIGNAN - MURET";51;"0,0434%";"0";30;"0,0284%";"0"
"MONTAUBAN - SOUILLAC";51;"0,0431%";"0";52;"0,0488%";"0"
"NIMES PONT DU GARD - PERPIGNAN";51;"0,0429%";"0";15;"0,0137%";"0"
"GRAGNAGUE - TOULOUSE MATABIAU";51;"0,0429%";"2";29;"0,0270%";"2"
"LONGAGES - NOÉ - SAINT-AGNE";50;"0,0426%";"3";43;"0,0402%";"2"
"LACOURTENSOURT - TOULOUSE MATABIAU";50;"0,0426%";"4";42;"0,0396%";"3"
"ALES - SAINT-GENIÈS-DE-MALGOIRÈS";50;"0,0423%";"2";64;"0,0599%";"2"
"CASTRES - LAVAUR";50;"0,0423%";"0";25;"0,0230%";"0"
"MILLAS - PERPIGNAN";50;"0,0423%";"0";16;"0,0147%";"0"
"NIMES - TOULON";50;"0,0423%";"0";27;"0,0253%";"0"
"PAMIERS - TARASCON SUR ARIEGE";50;"0,0421%";"1";25;"0,0235%";"1"
"LUNEL - MARSEILLE ST CHARLES";50;"0,0420%";"0";39;"0,0366%";"0"
"CARMAUX - RODEZ";50;"0,0419%";"0";30;"0,0286%";"0"
"LANNEMEZAN - SAINT-AGNE";49;"0,0418%";"0";4;"0,0038%";"0"
"ALES - SAINT-CHÉLY-D'APCHER";49;"0,0416%";"0";41;"0,0387%";"0"
"PAMIERS - PORTET SAINT-SIMON";49;"0,0416%";"1";19;"0,0181%";"1"
"CAPDENAC - RODEZ";49;"0,0410%";"0";40;"0,0379%";"0"
"PERPIGNAN - PORT VENDRES VILLE";48;"0,0409%";"0";28;"0,0265%";"1"
"SAINT-AGNE - TARASCON SUR ARIEGE";48;"0,0407%";"0";12;"0,0111%";"0"
"LÉZIGNAN (AUDE) - MONTPELLIER SAINT-ROCH";48;"0,0407%";"0";39;"0,0369%";"0"
"ALES - CLERMONT FERRAND";48;"0,0406%";"0";8;"0,0072%";"0"
"FAUGA - SAINT-AGNE";48;"0,0406%";"4";55;"0,0520%";"4"
"LABEGE INNOPOLE - VILLEFRANCHE DE LAURAGAIS";48;"0,0405%";"2";44;"0,0412%";"3"
"BAILLARGUES - PERPIGNAN";48;"0,0404%";"0";48;"0,0455%";"0"
"BOUSSENS - CARBONNE";47;"0,0400%";"0";35;"0,0327%";"0"
"AVIGNON CENTRE - BEAUCAIRE";47;"0,0398%";"0";48;"0,0453%";"1"
"MONTAUBAN - SAINT-JORY";46;"0,0390%";"1";25;"0,0235%";"2"
"LUNEL - VERGÈZE - CODOGNAN";46;"0,0390%";"1";39;"0,0370%";"1"
"MONTPELLIER SAINT-ROCH - VALERGUES - LANSARGUES";46;"0,0388%";"2";60;"0,0561%";"2"
"GOURDON - SOUILLAC";46;"0,0388%";"0";39;"0,0361%";"1"
"CAZÈRES - SAINT-GAUDENS";46;"0,0385%";"1";35;"0,0324%";"1"
"COLLIOURE - NARBONNE";45;"0,0380%";"0";87;"0,0816%";"0"
"BOUSSENS - SAINT-GAUDENS";45;"0,0380%";"1";48;"0,0449%";"1"
"BRIVE LA GAILLARDE - SOUILLAC";45;"0,0379%";"0";53;"0,0497%";"1"
"SAINT-AGNE - VARILHES";45;"0,0378%";"0";9;"0,0086%";"0"
"CASTELNAUDARY - LÉZIGNAN (AUDE)";45;"0,0377%";"2";65;"0,0608%";"1"
"MONTAUBAN - VALENCE D'AGEN";45;"0,0377%";"1";27;"0,0253%";"1"
"AUCH - BRAX - LÉGUEVIN";44;"0,0376%";"1";32;"0,0301%";"1"
"ILLE SUR TET - PERPIGNAN";44;"0,0375%";"0";74;"0,0694%";"0"
"CARBONNE - TARBES";44;"0,0372%";"0";37;"0,0342%";"0"
"LAGUEPIE - TOULOUSE MATABIAU";44;"0,0369%";"0";26;"0,0241%";"0"
"COLOMIERS LYCEE INTERNATIONAL - L'ISLE JOURDAIN";43;"0,0366%";"1";30;"0,0285%";"1"
"AX LES THERMES - FOIX";43;"0,0364%";"0";33;"0,0314%";"0"
"BAGNERES-DE-LUCHON - MONTRÉJEAU - GOURDAN-POLIGNAN";43;"0,0363%";"0";22;"0,0203%";"0"
"AVIGNON CENTRE - TOULOUSE MATABIAU";42;"0,0359%";"0";85;"0,0799%";"0"
"BAILLARGUES - MARSEILLE ST CHARLES";42;"0,0352%";"0";24;"0,0227%";"0"
"BRIVE LA GAILLARDE - GRAMAT";42;"0,0352%";"0";12;"0,0115%";"0"
"COLLIOURE - MONTPELLIER SAINT-ROCH";42;"0,0352%";"0";42;"0,0389%";"0"
"MILLAU - SAINT-CHÉLY-D'APCHER";41;"0,0350%";"0";58;"0,0546%";"0"
"CAZÈRES - TARBES";41;"0,0349%";"0";15;"0,0144%";"0"
"AVIGNON CENTRE - LUNEL";41;"0,0348%";"0";78;"0,0728%";"0"
"BRAM - CASTELNAUDARY";41;"0,0347%";"1";27;"0,0252%";"1"
"ARLES - NIMES PONT DU GARD";41;"0,0347%";"0";13;"0,0122%";"0"
"CARCASSONNE - LABEGE INNOPOLE";41;"0,0345%";"1";63;"0,0590%";"1"
"LANNEMEZAN - MURET";40;"0,0335%";"0";27;"0,0257%";"0"
"COLOMIERS - SAINT-AGNE";39;"0,0330%";"2";30;"0,0285%";"1"
"CASTRES - SAINT-SULPICE";39;"0,0328%";"0";30;"0,0286%";"0"
"CARCASSONNE - VILLEFRANCHE DE LAURAGAIS";39;"0,0327%";"1";48;"0,0450%";"1"
"SAINT-CYPRIEN ARÈNES - SAINT-MARTIN DU TOUCH";38;"0,0324%";"0";12;"0,0110%";"0"
"BEZIERS - MILLAU";38;"0,0321%";"0";35;"0,0328%";"0"
"MARSEILLE ST CHARLES - PERPIGNAN";38;"0,0321%";"0";56;"0,0520%";"0"
"PORT VENDRES VILLE - TOULOUSE MATABIAU";38;"0,0318%";"0";43;"0,0405%";"0"
"CARCASSONNE - LIMOUX";38;"0,0318%";"0";50;"0,0473%";"0"
"BOUSSENS - CAZÈRES";38;"0,0318%";"0";22;"0,0208%";"1"
"BRAX - LÉGUEVIN - COLOMIERS LYCEE INTERNATIONAL";38;"0,0318%";"1";37;"0,0343%";"0"
"DIEUPENTALE - MONTAUBAN";37;"0,0316%";"1";16;"0,0149%";"1"
"MONTPELLIER SAINT-ROCH - SAINT-CÉSAIRE";37;"0,0315%";"3";30;"0,0278%";"2"
"CAZÈRES - MONTRÉJEAU - GOURDAN-POLIGNAN";37;"0,0315%";"2";31;"0,0292%";"1"
"CERBERE - PERPIGNAN";37;"0,0313%";"0";102;"0,0954%";"0"
"AVIGNONET - TOULOUSE MATABIAU";37;"0,0313%";"1";62;"0,0586%";"1"
"ESCALQUENS - NARBONNE";37;"0,0313%";"0";27;"0,0252%";"0"
"NIMES PONT DU GARD - SETE";37;"0,0313%";"0";13;"0,0126%";"0"
"AUTERIVE - PORTET SAINT-SIMON";37;"0,0310%";"2";19;"0,0177%";"0"
"AGEN - CASTELNAU D'ESTRETEFONDS";36;"0,0308%";"0";17;"0,0161%";"0"
"AGDE - PERPIGNAN";36;"0,0308%";"0";78;"0,0730%";"0"
"AIX EN PROVENCE - MONTPELLIER SAINT-ROCH";36;"0,0304%";"0";59;"0,0553%";"0"
"LA BASTIDE ST LAURENT L BAINS - NIMES";36;"0,0304%";"0";5;"0,0051%";"0"
"FRONTIGNAN - NARBONNE";36;"0,0304%";"0";50;"0,0473%";"0"
"BEZIERS - LÉZIGNAN (AUDE)";36;"0,0302%";"3";40;"0,0380%";"2"
"CAHORS - CASTELNAU D'ESTRETEFONDS";36;"0,0301%";"0";29;"0,0274%";"0"
"RODEZ - SAINT-SULPICE";36;"0,0301%";"0";19;"0,0182%";"0"
"FOIX - PORTET SAINT-SIMON";35;"0,0300%";"1";12;"0,0109%";"1"
"CASTELNAUDARY - LABEGE INNOPOLE";35;"0,0299%";"2";40;"0,0380%";"2"
"BRAX - LÉGUEVIN - SAINT-AGNE";35;"0,0296%";"2";24;"0,0229%";"1"
"MURET - PORTET SAINT-SIMON";35;"0,0296%";"3";26;"0,0240%";"1"
"LATOUR DE CAROL ENVEITG - PAMIERS";35;"0,0295%";"0";27;"0,0255%";"0"
"ALBI MADELEINE - GAILLAC";34;"0,0290%";"1";9;"0,0087%";"1"
"AVIGNON CENTRE - BAILLARGUES";34;"0,0290%";"1";40;"0,0379%";"0"
"ALBI MADELEINE - CARMAUX";34;"0,0290%";"1";36;"0,0339%";"1"
"AUCH - COLOMIERS LYCEE INTERNATIONAL";34;"0,0289%";"0";13;"0,0124%";"0"
"CARCASSONNE - LIMOUX FLASSIAN";34;"0,0288%";"0";5;"0,0049%";"0"
"LEUCATE LA FRANQUI - PERPIGNAN";34;"0,0288%";"1";33;"0,0314%";"1"
"AGDE - MARSEILLE ST CHARLES";34;"0,0287%";"0";44;"0,0413%";"0"
"CLERMONT FERRAND - VILLEFORT";34;"0,0287%";"0";3;"0,0028%";"0"
"AGDE - FRONTIGNAN";34;"0,0286%";"1";44;"0,0408%";"1"
"PERPIGNAN - VINCA";34;"0,0285%";"0";1;"0,0006%";"0"
"CASTELNAUDARY - VILLEFRANCHE DE LAURAGAIS";34;"0,0284%";"1";50;"0,0466%";"1"
"NIMES - VAUVERT";33;"0,0282%";"0";101;"0,0946%";"1"
"BEAUVOISIN - NIMES";33;"0,0281%";"0";127;"0,1193%";"1"
"LÉZIGNAN (AUDE) - PERPIGNAN";33;"0,0280%";"1";53;"0,0499%";"1"
"NARBONNE - TARASCON";33;"0,0279%";"0";26;"0,0244%";"0"
"NIMES PONT DU GARD - VERGÈZE - CODOGNAN";33;"0,0279%";"0";13;"0,0122%";"0"
"CARBONNE - MONTRÉJEAU - GOURDAN-POLIGNAN";32;"0,0274%";"0";11;"0,0101%";"0"
"BANASSAC LA CANOURGUE - SAINT-CHÉLY-D'APCHER";32;"0,0272%";"0";34;"0,0321%";"0"
"NARBONNE - VILLEFRANCHE DE LAURAGAIS";32;"0,0268%";"0";20;"0,0191%";"0"
"BAILLARGUES - NARBONNE";32;"0,0267%";"0";44;"0,0408%";"0"
"FOIX - SAVERDUN";31;"0,0266%";"1";23;"0,0217%";"1"
"MONTPELLIER SAINT-ROCH - SAINT-AUNÈS";31;"0,0264%";"1";36;"0,0335%";"1"
"BAILLARGUES - VERGÈZE - CODOGNAN";31;"0,0262%";"1";32;"0,0296%";"1"
"CAUSSADE - SOUILLAC";31;"0,0262%";"0";20;"0,0189%";"0"
"COLOMIERS LYCEE INTERNATIONAL - SAINT-AGNE";31;"0,0259%";"2";25;"0,0239%";"2"
"AUCH - PIBRAC";31;"0,0259%";"0";25;"0,0231%";"0"
"BEZIERS - MAGALAS";30;"0,0256%";"0";9;"0,0084%";"0"
"BRIVE LA GAILLARDE - GOURDON";30;"0,0254%";"0";14;"0,0132%";"0"
"COLOMIERS LYCEE INTERNATIONAL - TOULOUSE MATABIAU";30;"0,0254%";"2";22;"0,0208%";"1"
"BANYULS SUR MER - NARBONNE";30;"0,0254%";"0";17;"0,0159%";"0"
"SAINT-CHÉLY-D'APCHER - SEVERAC-LE-CHATEAU";30;"0,0254%";"0";44;"0,0409%";"0"
"MARTRES TOLOSANE - TOULOUSE MATABIAU";30;"0,0253%";"0";15;"0,0140%";"0"
"ALES - VILLEFORT";30;"0,0252%";"0";23;"0,0218%";"1"
"BAZIEGE - CARCASSONNE";30;"0,0251%";"0";23;"0,0217%";"0"
"ELNE - NARBONNE";30;"0,0251%";"0";32;"0,0299%";"0"
"LABEGE INNOPOLE - NARBONNE";30;"0,0251%";"0";34;"0,0316%";"0"
"NIMES - NOZIÈRES - BRIGNON";30;"0,0250%";"1";25;"0,0233%";"1"
"COLOMIERS - PIBRAC";29;"0,0248%";"1";19;"0,0181%";"1"
"CASTRES - MAZAMET";29;"0,0246%";"0";15;"0,0140%";"0"
"PAMIERS - VARILHES";29;"0,0246%";"1";12;"0,0111%";"0"
"AX LES THERMES - SAINT-AGNE";29;"0,0245%";"0";33;"0,0313%";"0"
"TOULOUSE MATABIAU - VILLENOUVELLE";29;"0,0244%";"1";31;"0,0289%";"1"
"CASTELNAUDARY - MONTPELLIER SAINT-ROCH";29;"0,0243%";"0";35;"0,0332%";"0"
"BRIVE LA GAILLARDE - CAPDENAC";29;"0,0242%";"0";6;"0,0060%";"0"
"GAILLAC - RABASTENS - COUFOULEUX";29;"0,0242%";"0";5;"0,0044%";"0"
"CARCASSONNE - RIVESALTES";29;"0,0242%";"0";32;"0,0297%";"0"
"GAILLAC - VILLEFRANCHE DE ROUERGUE";28;"0,0240%";"0";12;"0,0111%";"0"
"CARMAUX - SAINT-SULPICE";28;"0,0238%";"0";37;"0,0348%";"0"
"LANNEMEZAN - SAINT-GAUDENS";27;"0,0231%";"1";29;"0,0269%";"0"
"CARCASSONNE - MONTAUDRAN";27;"0,0229%";"0";19;"0,0179%";"0"
"AVIGNON CENTRE - FRONTIGNAN";27;"0,0228%";"0";39;"0,0366%";"0"
"BRIVE LA GAILLARDE - ROCAMADOUR PADIRAC";27;"0,0228%";"0";6;"0,0058%";"0"
"MONTPELLIER SAINT-ROCH - NICE";27;"0,0228%";"0";42;"0,0394%";"0"
"MERENVIELLE - SAINT-CYPRIEN ARÈNES";27;"0,0226%";"1";9;"0,0087%";"1"
"LABRUGUIERE - TOULOUSE MATABIAU";27;"0,0225%";"0";30;"0,0279%";"0"
"MONTPELLIER SAINT-ROCH - ORANGE";27;"0,0225%";"0";32;"0,0300%";"0"
"BEZIERS - CASTELNAUDARY";26;"0,0224%";"0";31;"0,0290%";"0"
"BAGNERES-DE-LUCHON - SAINT-GAUDENS";26;"0,0224%";"0";34;"0,0315%";"0"
"NARBONNE - SALSES";26;"0,0224%";"0";22;"0,0207%";"1"
"BEZIERS - RIVESALTES";26;"0,0224%";"0";22;"0,0203%";"0"
"MONTRÉJEAU - GOURDAN-POLIGNAN - SAINT-GAUDENS";26;"0,0223%";"2";23;"0,0219%";"1"
"AUBIET - TOULOUSE MATABIAU";26;"0,0221%";"0";10;"0,0091%";"0"
"BRIVE LA GAILLARDE - VIVIEZ DECAZEVILLE";26;"0,0220%";"0";2;"0,0019%";"0"
"LABEGE INNOPOLE - PERPIGNAN";26;"0,0220%";"0";38;"0,0356%";"0"
"LATOUR DE CAROL ENVEITG - SAINT-AGNE";26;"0,0220%";"0";11;"0,0103%";"0"
"PORTE PUYMORENS - TOULOUSE MATABIAU";26;"0,0220%";"0";13;"0,0122%";"0"
"GAILLAC - LISLE SUR TARN";26;"0,0220%";"1";10;"0,0098%";"0"
"GAILLAC - RODEZ";26;"0,0219%";"0";20;"0,0191%";"0"
"LE GRAU DU ROI - NIMES";26;"0,0217%";"0";34;"0,0319%";"0"
"MONTPELLIER SAINT-ROCH - SAINT-MARTIN-DE-CRAU";26;"0,0217%";"0";21;"0,0197%";"0"
"MONTPELLIER SAINT-ROCH - SALSES";26;"0,0217%";"0";39;"0,0361%";"0"
"BAGNERES-DE-LUCHON - BOUSSENS";25;"0,0215%";"0";17;"0,0158%";"0"
"MARMANDE - TOULOUSE MATABIAU";25;"0,0214%";"0";1;"0,0006%";"0"
"AUTERIVE - SAVERDUN";25;"0,0214%";"1";26;"0,0245%";"1"
"CAPDENAC - VILLEFRANCHE DE ROUERGUE";25;"0,0211%";"0";19;"0,0182%";"0"
"CASTRES - MONTRABE";25;"0,0211%";"0";3;"0,0026%";"0"
"COARRAZE - NAY - TARBES";25;"0,0210%";"0";19;"0,0175%";"0"
"MONTAUDRAN - TOULOUSE MATABIAU";25;"0,0209%";"1";34;"0,0317%";"1"
"BANYULS SUR MER - CERBERE";25;"0,0209%";"0";29;"0,0272%";"0"
"MAZAMET - SAINT-SULPICE";24;"0,0206%";"0";22;"0,0206%";"0"
"CARCASSONNE - SETE";24;"0,0206%";"0";14;"0,0127%";"0"
"AURILLAC - BRETENOUX BIARS";24;"0,0205%";"0";17;"0,0159%";"0"
"BORDEAUX ST JEAN - MONTAUBAN";24;"0,0203%";"0";5;"0,0047%";"0"
"BOURG MADAME - VILLEFRANCHE VERNET LES BAINS";24;"0,0203%";"0";27;"0,0253%";"0"
"NIMES - ORANGE";24;"0,0203%";"0";30;"0,0281%";"0"
"PAU - SAINT-AGNE";24;"0,0203%";"0";8;"0,0070%";"0"
"SAINT-AGNE - TOURNAY";24;"0,0203%";"0";1;"0,0009%";"0"
"ALES - BEZIERS";24;"0,0203%";"0";15;"0,0140%";"0"
"LAVAUR - MAZAMET";24;"0,0201%";"0";21;"0,0199%";"0"
"LUNEL - TOULOUSE MATABIAU";24;"0,0201%";"0";38;"0,0359%";"0"
"BEZIERS - TARASCON";24;"0,0200%";"0";28;"0,0263%";"0"
"CERBERE - PORT BOU FRONTIERE";24;"0,0200%";"0";14;"0,0131%";"0"
"AGEN - LAMAGISTERE";23;"0,0198%";"1";13;"0,0119%";"1"
"BAGNERES-DE-LUCHON - CARBONNE";23;"0,0198%";"0";27;"0,0249%";"0"
"SAINT JEAN DE VERGES - TOULOUSE MATABIAU";23;"0,0198%";"0";8;"0,0072%";"0"
"COLOMIERS LYCEE INTERNATIONAL - PIBRAC";23;"0,0197%";"0";21;"0,0200%";"0"
"CARCASSONNE - PORT LA NOUVELLE";23;"0,0197%";"0";22;"0,0207%";"0"
"ALBI - VILLEFRANCHE DE ROUERGUE";23;"0,0196%";"0";22;"0,0210%";"0"
"MENDE - MONTPELLIER SAINT-ROCH";23;"0,0196%";"0";18;"0,0170%";"0"
"MONTPELLIER SAINT-ROCH - VIAS";23;"0,0196%";"2";18;"0,0167%";"1"
"LANNEMEZAN - PAU";23;"0,0196%";"0";11;"0,0108%";"0"
"AUBIN - FIGEAC";23;"0,0195%";"0";6;"0,0059%";"0"
"AVIGNON TGV - NIMES PONT DU GARD";23;"0,0194%";"0";25;"0,0234%";"0"
"AX LES THERMES - TARASCON SUR ARIEGE";23;"0,0192%";"0";12;"0,0110%";"0"
"LANNEMEZAN - LOURDES";23;"0,0192%";"0";22;"0,0202%";"0"
"CARCASSONNE - ESCALQUENS";23;"0,0192%";"0";24;"0,0227%";"0"
"FIGEAC - VIVIEZ DECAZEVILLE";23;"0,0190%";"0";18;"0,0170%";"0"
"FIGEAC - VILLEFRANCHE DE ROUERGUE";22;"0,0190%";"0";15;"0,0145%";"0"
"PERPIGNAN - VERGÈZE - CODOGNAN";22;"0,0189%";"0";30;"0,0279%";"0"
"AUCH - MONTAUBAN";22;"0,0186%";"0";7;"0,0061%";"0"
"ARGELES SUR MER - COLLIOURE";22;"0,0186%";"0";20;"0,0188%";"0"
"GRISOLLES - MONTAUBAN";22;"0,0186%";"1";15;"0,0138%";"0"
"AUTERIVE - PINS JUSTARET";22;"0,0183%";"1";12;"0,0111%";"0"
"GENOLHAC - MENDE";21;"0,0181%";"0";25;"0,0233%";"0"
"BOUSSENS - PORTET SAINT-SIMON";21;"0,0181%";"0";28;"0,0260%";"0"
"FIGEAC - GAILLAC";21;"0,0181%";"0";16;"0,0146%";"0"
"FRONTIGNAN - TOULOUSE MATABIAU";21;"0,0181%";"0";52;"0,0485%";"0"
"SAINT-SULPICE - VILLEFRANCHE DE ROUERGUE";21;"0,0181%";"0";21;"0,0199%";"0"
"MONTAUBAN - TARBES";21;"0,0181%";"0";8;"0,0071%";"0"
"MONTAUDRAN - VILLEFRANCHE DE LAURAGAIS";21;"0,0178%";"1";18;"0,0165%";"1"
"PERPIGNAN - VILLEFRANCHE DE LAURAGAIS";21;"0,0178%";"0";9;"0,0084%";"0"
"LANNEMEZAN - MONTRÉJEAU - GOURDAN-POLIGNAN";21;"0,0177%";"0";19;"0,0180%";"1"
"ALES - NIMES PONT DU GARD";21;"0,0175%";"0";31;"0,0291%";"0"
"LOURDES - SAINT-AGNE";21;"0,0175%";"0";11;"0,0100%";"0"
"ALBI MADELEINE - RODEZ";21;"0,0174%";"0";11;"0,0106%";"0"
"GIMONT CAHUZAC - SAINT-AGNE";21;"0,0173%";"1";13;"0,0118%";"1"
"BAILLARGUES - NIMES PONT DU GARD";20;"0,0172%";"0";4;"0,0035%";"0"
"FIGEAC - GRAMAT";20;"0,0171%";"0";12;"0,0115%";"0"
"PIBRAC - SAINT-AGNE";20;"0,0169%";"1";21;"0,0194%";"1"
"CLERMONT FERRAND - LANGOGNE";20;"0,0169%";"0";20;"0,0188%";"0"
"MIRAMAS - NIMES PONT DU GARD";20;"0,0169%";"0";6;"0,0056%";"0"
"MURET - PAU";20;"0,0169%";"0";14;"0,0130%";"0"
"SAILLAGOUSE - VILLEFRANCHE VERNET LES BAINS";20;"0,0169%";"0";4;"0,0038%";"0"
"CAHORS - LALBENQUE FONTANES";20;"0,0169%";"0";7;"0,0063%";"0"
"NIMES - RIVESALTES";20;"0,0168%";"0";34;"0,0322%";"0"
"CARCASSONNE - NIMES";20;"0,0168%";"0";22;"0,0209%";"0"
"MONTPELLIER SAINT-ROCH - SAINT-GENIÈS-DE-MALGOIRÈS";20;"0,0167%";"0";19;"0,0176%";"0"
"LES CAUQUILLOUS - TOULOUSE MATABIAU";20;"0,0166%";"1";8;"0,0076%";"1"
"AUTERIVE - FOIX";20;"0,0165%";"1";16;"0,0150%";"0"
"GALLARGUES - NIMES";19;"0,0164%";"0";28;"0,0267%";"1"
"CASTELNAU D'ESTRETEFONDS - SOUILLAC";19;"0,0164%";"0";14;"0,0128%";"0"
"SALSES - TOULOUSE MATABIAU";19;"0,0164%";"0";44;"0,0411%";"0"
"ALBI - CARCASSONNE";19;"0,0163%";"0";14;"0,0128%";"0"
"PERPIGNAN - SAINT-FÉLIU-D'AVALL";19;"0,0162%";"0";22;"0,0206%";"0"
"CARPENTRAS - MONTPELLIER SAINT-ROCH";19;"0,0161%";"0";18;"0,0169%";"0"
"MONTAUDRAN - PERPIGNAN";19;"0,0161%";"0";20;"0,0188%";"0"
"MONTELIMAR GARE SNCF - MONTPELLIER SAINT-ROCH";19;"0,0161%";"0";14;"0,0131%";"0"
"NIMES PONT DU GARD - TARASCON";19;"0,0161%";"0";11;"0,0103%";"0"
"SETE - VERGÈZE - CODOGNAN";19;"0,0160%";"0";16;"0,0151%";"0"
"FRONTIGNAN - LUNEL";19;"0,0160%";"0";27;"0,0252%";"1"
"AGDE - BAILLARGUES";19;"0,0159%";"1";31;"0,0291%";"1"
"AUCH - MURET";19;"0,0159%";"0";16;"0,0154%";"0"
"COARRAZE - NAY - LOURDES";19;"0,0159%";"0";12;"0,0117%";"0"
"BAILLARGUES - FRONTIGNAN";19;"0,0158%";"1";24;"0,0227%";"2"
"ALES - AVIGNON CENTRE";19;"0,0158%";"0";6;"0,0054%";"1"
"RIVESALTES - SETE";19;"0,0158%";"0";11;"0,0103%";"0"
"LOURDES - MURET";19;"0,0157%";"0";22;"0,0206%";"0"
"PORTET SAINT-SIMON - SAVERDUN";18;"0,0156%";"1";6;"0,0054%";"0"
"BEDARIEUX - SAINT-CHÉLY-D'APCHER";18;"0,0154%";"0";16;"0,0152%";"0"
"RODEZ - SAINT-CHÉLY-D'APCHER";18;"0,0154%";"0";4;"0,0039%";"0"
"PERPIGNAN - TARASCON";18;"0,0154%";"0";30;"0,0281%";"0"
"AUTERIVE - LATOUR DE CAROL ENVEITG";18;"0,0152%";"0";3;"0,0028%";"0"
"BEZIERS - MIRAMAS";18;"0,0152%";"0";5;"0,0047%";"0"
"CERBERE - NARBONNE";18;"0,0152%";"0";23;"0,0213%";"0"
"LA SEYNE SIX FOURS - MONTPELLIER SAINT-ROCH";18;"0,0152%";"0";12;"0,0113%";"0"
"LANGOGNE - MONTPELLIER SAINT-ROCH";18;"0,0152%";"0";10;"0,0092%";"0"
"BAZIEGE - MONTAUDRAN";18;"0,0152%";"1";7;"0,0068%";"1"
"LE CAILAR - NIMES";18;"0,0152%";"0";30;"0,0278%";"0"
"BRAM - MONTPELLIER SAINT-ROCH";18;"0,0151%";"0";15;"0,0138%";"0"
"AGEN - CAHORS";18;"0,0150%";"0";16;"0,0146%";"0"
"CARMAUX - NAUCELLE";18;"0,0150%";"2";20;"0,0185%";"1"
"LISLE SUR TARN - SAINT-SULPICE";18;"0,0149%";"0";3;"0,0025%";"0"
"MOISSAC - VALENCE D'AGEN";18;"0,0149%";"0";3;"0,0032%";"0"
"BANYULS SUR MER - MONTPELLIER SAINT-ROCH";17;"0,0148%";"0";20;"0,0188%";"0"
"GENOLHAC - LANGOGNE";17;"0,0147%";"0";5;"0,0045%";"0"
"AUBIET - SAINT-CYPRIEN ARÈNES";17;"0,0146%";"0";2;"0,0016%";"0"
"LUNEL VIEL - MONTPELLIER SAINT-ROCH";17;"0,0146%";"0";30;"0,0278%";"0"
"AGDE - NIMES PONT DU GARD";17;"0,0144%";"0";9;"0,0084%";"0"
"ARGELES SUR MER - CARCASSONNE";17;"0,0144%";"0";18;"0,0171%";"0"
