"�..Parcours_2023";"Nombre.de.voyages_2023";"Poids.de.voyages_2023";"Nombre.d.abonnements_2023";"Nombre.de.voyages_2024";"Poids.de.voyages_2024";"Nombre.d.abonnements_2024"
"NIMES - SAINT-GENIÈS-DE-MALGOIRÈS";381;"0,3222%";"22";481;"0,4514%";"23"
"MONTASTRUC LA CONSEILLERE - TOULOUSE MATABIAU";375;"0,3172%";"17";207;"0,1939%";"12"
"MONTRÉJEAU - GOURDAN-POLIGNAN - TOULOUSE MATABIAU";373;"0,3155%";"2";418;"0,3924%";"2"
"BAILLARGUES - NIMES";373;"0,3151%";"17";353;"0,3312%";"12"
"AUCH - SAINT-CYPRIEN ARÈNES";369;"0,3117%";"1";33;"0,0311%";"0"
"CAUSSADE - TOULOUSE MATABIAU";369;"0,3116%";"5";308;"0,2891%";"3"
"NARBONNE - NIMES";346;"0,2925%";"1";344;"0,3226%";"0"
"SAINT-JORY - TOULOUSE MATABIAU";329;"0,2782%";"18";321;"0,3007%";"14"
"LANNEMEZAN - TARBES";324;"0,2735%";"3";276;"0,2588%";"2"
"LÉZIGNAN (AUDE) - TOULOUSE MATABIAU";322;"0,2719%";"0";400;"0,3755%";"1"
"MAZAMET - TOULOUSE MATABIAU";318;"0,2691%";"1";258;"0,2416%";"1"
"AGDE - BEZIERS";299;"0,2529%";"7";264;"0,2480%";"6"
"NIMES - PERPIGNAN";299;"0,2524%";"1";302;"0,2833%";"0"
"GOURDON - TOULOUSE MATABIAU";293;"0,2479%";"1";351;"0,3293%";"1"
"LÉZIGNAN (AUDE) - NARBONNE";287;"0,2423%";"4";290;"0,2716%";"3"
"CARCASSONNE - CASTELNAUDARY";285;"0,2410%";"6";283;"0,2656%";"5"
"L'ISLE JOURDAIN - SAINT-CYPRIEN ARÈNES";279;"0,2360%";"6";62;"0,0579%";"3"
"TOULOUSE MATABIAU - VENERQUE - LE VERNET";275;"0,2321%";"9";137;"0,1280%";"9"
"ALES - MONTPELLIER SAINT-ROCH";273;"0,2305%";"3";275;"0,2577%";"2"
"BRAM - TOULOUSE MATABIAU";271;"0,2292%";"3";265;"0,2484%";"2"
"LATOUR DE CAROL ENVEITG - TOULOUSE MATABIAU";267;"0,2257%";"1";253;"0,2371%";"0"
"BEZIERS - SETE";264;"0,2229%";"10";317;"0,2977%";"6"
"MONTPELLIER SAINT-ROCH - TARASCON";262;"0,2212%";"1";435;"0,4076%";"1"
"SOUILLAC - TOULOUSE MATABIAU";261;"0,2209%";"1";341;"0,3196%";"1"
"NARBONNE - SETE";259;"0,2191%";"1";206;"0,1930%";"1"
"GRISOLLES - TOULOUSE MATABIAU";245;"0,2073%";"11";138;"0,1290%";"8"
"CARBONNE - SAINT-AGNE";239;"0,2018%";"6";116;"0,1087%";"6"
"LISLE SUR TARN - TOULOUSE MATABIAU";230;"0,1948%";"6";132;"0,1241%";"6"
"SAVERDUN - TOULOUSE MATABIAU";225;"0,1899%";"5";123;"0,1151%";"6"
"TOULOUSE MATABIAU - TOURNAY";221;"0,1866%";"0";29;"0,0267%";"0"
"NIMES - SETE";221;"0,1864%";"2";286;"0,2679%";"1"
"COLLIOURE - TOULOUSE MATABIAU";217;"0,1834%";"0";260;"0,2435%";"0"
"DIEUPENTALE - TOULOUSE MATABIAU";213;"0,1800%";"9";193;"0,1806%";"8"
"TARASCON SUR ARIEGE - TOULOUSE MATABIAU";213;"0,1798%";"1";110;"0,1035%";"0"
"BEZIERS - PERPIGNAN";212;"0,1791%";"1";263;"0,2467%";"1"
"BRAX - LÉGUEVIN - SAINT-CYPRIEN ARÈNES";212;"0,1790%";"8";78;"0,0729%";"5"
"SAINT-AGNE - TARBES";210;"0,1775%";"0";21;"0,0196%";"0"
"L'ISLE JOURDAIN - TOULOUSE MATABIAU";205;"0,1736%";"5";176;"0,1653%";"4"
"BAZIEGE - TOULOUSE MATABIAU";203;"0,1715%";"6";178;"0,1672%";"5"
"NARBONNE - PORT LA NOUVELLE";202;"0,1710%";"3";126;"0,1179%";"2"
"ALBI - RODEZ";200;"0,1690%";"1";88;"0,0830%";"1"
"AVIGNON CENTRE - BAGNOLS SUR CEZE";198;"0,1676%";"1";250;"0,2342%";"0"
"BEZIERS - TOULOUSE MATABIAU";198;"0,1670%";"1";229;"0,2151%";"1"
"CAHORS - MONTAUBAN";196;"0,1657%";"2";131;"0,1228%";"2"
"NIMES - TARASCON";195;"0,1645%";"4";177;"0,1657%";"2"
"AVIGNON CENTRE - NARBONNE";193;"0,1632%";"0";214;"0,2006%";"0"
"AUTERIVE - SAINT-AGNE";191;"0,1614%";"7";153;"0,1437%";"7"
"TOULOUSE MATABIAU - VALENCE D'AGEN";190;"0,1602%";"1";246;"0,2309%";"1"
"PINS JUSTARET - TOULOUSE MATABIAU";187;"0,1581%";"5";77;"0,0718%";"5"
"MONTPELLIER SAINT-ROCH - NIMES PONT DU GARD";187;"0,1580%";"2";126;"0,1180%";"1"
"AVIGNON CENTRE - BEZIERS";180;"0,1525%";"0";203;"0,1908%";"0"
"AVIGNON CENTRE - SETE";180;"0,1525%";"0";224;"0,2097%";"0"
"PORTET SAINT-SIMON - TOULOUSE MATABIAU";180;"0,1522%";"7";69;"0,0651%";"3"
"TOULOUSE MATABIAU - VARILHES";180;"0,1521%";"1";79;"0,0745%";"1"
"CARCASSONNE - PERPIGNAN";179;"0,1514%";"1";278;"0,2610%";"1"
"AGEN - MONTAUBAN";177;"0,1497%";"2";69;"0,0643%";"1"
"ALBI - CARMAUX";176;"0,1488%";"3";68;"0,0642%";"0"
"AUCH - L'ISLE JOURDAIN";175;"0,1477%";"2";179;"0,1681%";"1"
"ARLES - MONTPELLIER SAINT-ROCH";172;"0,1457%";"1";150;"0,1404%";"1"
"AGDE - SETE";171;"0,1446%";"8";178;"0,1668%";"7"
"CLERMONT FERRAND - NIMES";170;"0,1435%";"0";2;"0,0019%";"0"
"CINTEGABELLE - TOULOUSE MATABIAU";170;"0,1434%";"5";60;"0,0559%";"3"
"LABEGE INNOPOLE - TOULOUSE MATABIAU";169;"0,1428%";"8";130;"0,1223%";"8"
"ALBI - GAILLAC";168;"0,1420%";"1";33;"0,0312%";"1"
"MONTBARTIER - TOULOUSE MATABIAU";168;"0,1417%";"5";116;"0,1086%";"4"
"FOIX - SAINT-AGNE";164;"0,1389%";"2";42;"0,0393%";"1"
"LOURDES - TARBES";164;"0,1387%";"2";153;"0,1437%";"1"
"ARGELES SUR MER - PERPIGNAN";163;"0,1382%";"3";164;"0,1538%";"2"
"PAMIERS - SAINT-AGNE";161;"0,1365%";"3";28;"0,0266%";"1"
"ARLES - NIMES";159;"0,1347%";"2";161;"0,1513%";"4"
"BANYULS SUR MER - PERPIGNAN";158;"0,1338%";"2";114;"0,1064%";"2"
"CAHORS - GOURDON";158;"0,1334%";"4";134;"0,1254%";"3"
"AUCH - COLOMIERS";155;"0,1312%";"1";67;"0,0627%";"0"
"BEZIERS - SAINT-CHÉLY-D'APCHER";154;"0,1300%";"0";114;"0,1065%";"0"
"LEUCATE LA FRANQUI - TOULOUSE MATABIAU";153;"0,1293%";"0";178;"0,1672%";"0"
"MONT LOUIS LA CABANASSE - VILLEFRANCHE VERNET LES BAINS";153;"0,1293%";"0";163;"0,1528%";"0"
"NIMES - TOULOUSE MATABIAU";153;"0,1293%";"1";160;"0,1500%";"0"
"CAHORS - SOUILLAC";152;"0,1282%";"2";168;"0,1577%";"1"
"MONTPELLIER SAINT-ROCH - VIC - MIREVAL";149;"0,1256%";"7";157;"0,1474%";"7"
"MONTPELLIER SAINT-ROCH - RIVESALTES";148;"0,1252%";"0";204;"0,1909%";"0"
"MURET - TARBES";147;"0,1240%";"0";66;"0,0621%";"0"
"ARGELES SUR MER - TOULOUSE MATABIAU";145;"0,1227%";"0";126;"0,1183%";"0"
"LOURDES - PAU";143;"0,1208%";"2";119;"0,1114%";"1"
"CASTELNAUDARY - NARBONNE";141;"0,1195%";"1";126;"0,1180%";"0"
"BRAM - CARCASSONNE";141;"0,1193%";"3";123;"0,1157%";"2"
"SAINT-GAUDENS - TARBES";140;"0,1185%";"1";93;"0,0870%";"1"
"COLOMIERS - SAINT-CYPRIEN ARÈNES";140;"0,1183%";"3";56;"0,0523%";"3"
"BRIVE LA GAILLARDE - RODEZ";139;"0,1175%";"0";17;"0,0158%";"0"
"FONT ROMEU ODEILLO VIA - VILLEFRANCHE VERNET LES BAINS";136;"0,1150%";"0";208;"0,1950%";"0"
"RIVESALTES - TOULOUSE MATABIAU";134;"0,1130%";"0";201;"0,1881%";"0"
"MARSEILLE ST CHARLES - NIMES PONT DU GARD";134;"0,1130%";"0";65;"0,0609%";"0"
"COLLIOURE - PERPIGNAN";134;"0,1129%";"1";177;"0,1664%";"1"
"NAUCELLE - RODEZ";133;"0,1125%";"1";130;"0,1223%";"1"
"AGDE - NARBONNE";133;"0,1121%";"1";145;"0,1362%";"1"
"SAINT-AGNE - SAINT-GAUDENS";133;"0,1121%";"2";55;"0,0515%";"1"
"PORTET SAINT-SIMON - SAINT-AGNE";131;"0,1109%";"9";112;"0,1051%";"6"
"PERPIGNAN - RIVESALTES";130;"0,1100%";"4";102;"0,0956%";"4"
