Parcours,DÇpart,ArrivÇe,Nombre de voyages,Poids de voyages,Nombre d'abonnements
AX LES THERMES - TOULOUSE MATABIAU,AX LES THERMES,TOULOUSE MATABIAU,379,"0,00444126746039186",0
CARCASSONNE - NARBONNE,CARCASSONNE,NARBONNE,378,"0,00442954907659136",0
CAUSSADE - TOULOUSE MATABIAU,CAUSSADE,TOULOUSE MATABIAU,378,"0,00442954907659136",0
CARBONNE - TOULOUSE MATABIAU,CARBONNE,TOULOUSE MATABIAU,375,"0,00439439392518984",0
MONTRêJEAU - GOURDAN-POLIGNAN - TOULOUSE MATABIAU,MONTRêJEAU,GOURDAN-POLIGNAN,367,"0,00430064685478579",0
NIMES - SETE,NIMES,SETE,353,"0,0041365894815787",0
AUTERIVE - TOULOUSE MATABIAU,AUTERIVE,TOULOUSE MATABIAU,352,"0,0041248710977782",0
CASTELSARRASIN - TOULOUSE MATABIAU,CASTELSARRASIN,TOULOUSE MATABIAU,348,"0,00407799756257617",0
NIMES - PERPIGNAN,NIMES,PERPIGNAN,347,"0,00406627917877566",0
LAVAUR - TOULOUSE MATABIAU,LAVAUR,TOULOUSE MATABIAU,339,"0,00397253210837161",0
CASTELNAU D'ESTRETEFONDS - TOULOUSE MATABIAU,CASTELNAU D'ESTRETEFONDS,TOULOUSE MATABIAU,333,"0,00390222180556858",0
MONT LOUIS LA CABANASSE - VILLEFRANCHE VERNET LES BAINS,MONT LOUIS LA CABANASSE,VILLEFRANCHE VERNET LES BAINS,324,"0,00379675635136402",0
CARMAUX - TOULOUSE MATABIAU,CARMAUX,TOULOUSE MATABIAU,320,"0,003749882816162",0
LANNEMEZAN - TOULOUSE MATABIAU,LANNEMEZAN,TOULOUSE MATABIAU,314,"0,00367957251335896",0
TARASCON SUR ARIEGE - TOULOUSE MATABIAU,TARASCON SUR ARIEGE,TOULOUSE MATABIAU,304,"0,0035623886753539",0
AVIGNON CENTRE - SETE,AVIGNON CENTRE,SETE,298,"0,00349207837255086",0
BAILLARGUES - MONTPELLIER SAINT-ROCH,BAILLARGUES,MONTPELLIER SAINT-ROCH,284,"0,00332802099934377",0
MONTPELLIER SAINT-ROCH - VERG‘ZE - CODOGNAN,MONTPELLIER SAINT-ROCH,VERG‘ZE,283,"0,00331630261554326",0
MONTPELLIER SAINT-ROCH - TARASCON,MONTPELLIER SAINT-ROCH,TARASCON,266,"0,00311709009093466",0
CAZ‘RES - TOULOUSE MATABIAU,CAZ‘RES,TOULOUSE MATABIAU,258,"0,00302334302053061",0
GOURDON - TOULOUSE MATABIAU,GOURDON,TOULOUSE MATABIAU,253,"0,00296475110152808",0
BEZIERS - NARBONNE,BEZIERS,NARBONNE,245,"0,00287100403112403",0
L'ISLE JOURDAIN - TOULOUSE MATABIAU,L'ISLE JOURDAIN,TOULOUSE MATABIAU,240,"0,0028124121121215",0
LATOUR DE CAROL ENVEITG - VILLEFRANCHE VERNET LES BAINS,LATOUR DE CAROL ENVEITG,VILLEFRANCHE VERNET LES BAINS,236,"0,00276553857691947",0
BANYULS SUR MER - TOULOUSE MATABIAU,BANYULS SUR MER,TOULOUSE MATABIAU,234,"0,00274210180931846",0
FONT ROMEU ODEILLO VIA - VILLEFRANCHE VERNET LES BAINS,FONT ROMEU ODEILLO VIA,VILLEFRANCHE VERNET LES BAINS,230,"0,00269522827411643",0
NIMES - NIMES PONT DU GARD,NIMES,NIMES PONT DU GARD,230,"0,00269522827411643",0
PORT LA NOUVELLE - TOULOUSE MATABIAU,PORT LA NOUVELLE,TOULOUSE MATABIAU,227,"0,00266007312271492",0
